SEQ_NO,CNSLT_TY_NM,BASE_YEAR,CNSLT_NCNT
32,컴퓨터/인터넷,2018,
31,활동,2018,
30,생활 습관 태도,2018,
29,정신 건강,2018,
28,성격,2018,
33,단순 정보 제공,2018,
27,대인 관계,2018,
26,성,2018,
25,학업/진로,2018,
24,일탈/비행,2018,
23,가정,2018,
17,성격,2017,
22,단순 정보 제공,2017,
21,컴퓨터/인터넷,2017,
20,활동,2017,
19,생활 습관 태도,2017,
18,정신 건강,2017,
16,대인 관계,2017,
15,성,2017,
14,학업/진로,2017,
13,일탈/비행,2017,
12,가정,2017,
11,단순 정보 제공,2016,
10,컴퓨터/인터넷,2016,
9,활동,2016,
8,생활 습관 태도,2016,
7,정신 건강,2016,
6,성격,2016,
5,대인 관계,2016,
4,성,2016,
3,학업/진로,2016,
2,일탈/비행,2016,
1,가정,2016,
