STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201912,2019년1월1일~12월31일,초등학교,1위,대인관계,46.2
201912,2019년1월1일~12월31일,초등학교,2위,기타,19.9
201912,2019년1월1일~12월31일,초등학교,3위,학업,17.4
201912,2019년1월1일~12월31일,초등학교,4위,가족,7.9
201912,2019년1월1일~12월31일,초등학교,5위,생활습관/외모,2.8
201912,2019년1월1일~12월31일,초등학교,6위,성격,1.7
201912,2019년1월1일~12월31일,초등학교,7위,인터넷/스마트폰,1.5
201912,2019년1월1일~12월31일,초등학교,8위,진로,1.4
201912,2019년1월1일~12월31일,초등학교,9위,정신건강,0.7
201912,2019년1월1일~12월31일,초등학교,10위,성,0.3
201912,2019년1월1일~12월31일,초등학교,11위,일탈 및 비행,0.1
201912,2019년1월1일~12월31일,중학교,1위,대인관계,43.3
201912,2019년1월1일~12월31일,중학교,2위,학업,16.3
201912,2019년1월1일~12월31일,중학교,3위,기타,10.4
201912,2019년1월1일~12월31일,중학교,4위,진로,9.1
201912,2019년1월1일~12월31일,중학교,5위,가족,5.3
201912,2019년1월1일~12월31일,중학교,6위,인터넷/스마트폰,4.1
201912,2019년1월1일~12월31일,중학교,7위,생활습관/외모,4.1
201912,2019년1월1일~12월31일,중학교,8위,성격,3.9
201912,2019년1월1일~12월31일,중학교,9위,정신건강,2.5
201912,2019년1월1일~12월31일,중학교,10위,일탈 및 비행,0.6
201912,2019년1월1일~12월31일,중학교,11위,성,0.4
201912,2019년1월1일~12월31일,고등학교,1위,대인관계,32.4
201912,2019년1월1일~12월31일,고등학교,2위,학업,24
201912,2019년1월1일~12월31일,고등학교,3위,진로,14.3
201912,2019년1월1일~12월31일,고등학교,4위,기타,7.4
201912,2019년1월1일~12월31일,고등학교,5위,가족,7
201912,2019년1월1일~12월31일,고등학교,6위,생활습관/외모,4.3
201912,2019년1월1일~12월31일,고등학교,7위,인터넷/스마트폰,3.4
201912,2019년1월1일~12월31일,고등학교,8위,성격,3
201912,2019년1월1일~12월31일,고등학교,9위,정신건강,2.8
201912,2019년1월1일~12월31일,고등학교,10위,일탈 및 비행,0.9
201912,2019년1월1일~12월31일,고등학교,11위,성,0.5
201912,2019년1월1일~12월31일,대학교,1위,대인관계,27.9
201912,2019년1월1일~12월31일,대학교,2위,진로,21.3
201912,2019년1월1일~12월31일,대학교,3위,학업,18.7
201912,2019년1월1일~12월31일,대학교,4위,기타,17.9
201912,2019년1월1일~12월31일,대학교,5위,가족,4.7
201912,2019년1월1일~12월31일,대학교,6위,생활습관/외모,3
201912,2019년1월1일~12월31일,대학교,7위,성격,2.4
201912,2019년1월1일~12월31일,대학교,8위,정신건강,1.9
201912,2019년1월1일~12월31일,대학교,9위,인터넷/스마트폰,1.1
201912,2019년1월1일~12월31일,대학교,10위,성,0.7
201912,2019년1월1일~12월31일,대학교,11위,일탈 및 비행,0.4
201911,2019년1월1일~11월30일,초등학교,1위,대인관계,46.2
201911,2019년1월1일~11월30일,초등학교,2위,기타,19.9
201911,2019년1월1일~11월30일,초등학교,3위,학업,17.4
201911,2019년1월1일~11월30일,초등학교,4위,가족,7.9
201911,2019년1월1일~11월30일,초등학교,5위,생활습관/외모,2.8
201911,2019년1월1일~11월30일,초등학교,6위,성격,1.7
201911,2019년1월1일~11월30일,초등학교,7위,인터넷/스마트폰,1.5
201911,2019년1월1일~11월30일,초등학교,8위,진로,1.4
201911,2019년1월1일~11월30일,초등학교,9위,정신건강,0.7
201911,2019년1월1일~11월30일,초등학교,10위,성,0.3
201911,2019년1월1일~11월30일,초등학교,11위,일탈 및 비행,0.1
201911,2019년1월1일~11월30일,중학교,1위,대인관계,43.3
201911,2019년1월1일~11월30일,중학교,2위,학업,16.3
201911,2019년1월1일~11월30일,중학교,3위,기타,10.4
201911,2019년1월1일~11월30일,중학교,4위,진로,9.1
201911,2019년1월1일~11월30일,중학교,5위,가족,5.3
201911,2019년1월1일~11월30일,중학교,6위,인터넷/스마트폰,4.1
201911,2019년1월1일~11월30일,중학교,7위,생활습관/외모,4.1
201911,2019년1월1일~11월30일,중학교,8위,성격,3.9
201911,2019년1월1일~11월30일,중학교,9위,정신건강,2.5
201911,2019년1월1일~11월30일,중학교,10위,일탈 및 비행,0.6
201911,2019년1월1일~11월30일,중학교,11위,성,0.4
201911,2019년1월1일~11월30일,고등학교,1위,대인관계,32.4
201911,2019년1월1일~11월30일,고등학교,2위,학업,24
201911,2019년1월1일~11월30일,고등학교,3위,진로,14.3
201911,2019년1월1일~11월30일,고등학교,4위,기타,7.4
201911,2019년1월1일~11월30일,고등학교,5위,가족,7
201911,2019년1월1일~11월30일,고등학교,6위,생활습관/외모,4.3
201911,2019년1월1일~11월30일,고등학교,7위,인터넷/스마트폰,3.4
